Date,Close,Open,High,Low,volume
11-01-2023,2125.35,2106.10,2140.00,2097.10,1455621.00
12-01-2023,2159.75,2118.10,2164.65,2118.10,2726901.00
13-01-2023,2153.40,2161.90,2164.85,2117.20,2180210.00
16-01-2023,2137.20,2147.00,2161.00,2132.30,1009649.00
17-01-2023,2213.10,2139.90,2217.80,2136.40,4645453.00
18-01-2023,2266.50,2221.00,2274.80,2200.00,4090049.00
19-01-2023,2273.10,2259.85,2283.80,2241.00,2176835.00
20-01-2023,2249.95,2282.45,2297.65,2238.45,1962410.00
23-01-2023,2233.50,2255.00,2273.30,2227.00,1466706.00
24-01-2023,2207.50,2244.70,2252.30,2200.00,1036962.00
25-01-2023,2174.70,2201.00,2205.00,2155.00,2134447.00
27-01-2023,2159.85,2174.70,2195.00,2127.10,1647900.00
30-01-2023,2112.90,2129.40,2173.25,2083.80,3441304.00
31-01-2023,2124.40,2119.95,2132.75,2072.65,4516463.00
01-02-2023,2145.55,2133.00,2215.95,2080.30,6868872.00
02-02-2023,2144.90,2135.60,2166.95,2107.85,3488506.00
03-02-2023,2166.55,2176.95,2181.85,2131.05,2045634.00
06-02-2023,2156.10,2164.25,2181.60,2142.30,1332484.00
07-02-2023,2165.30,2162.25,2172.00,2150.05,1089248.00
08-02-2023,2130.85,2160.55,2175.25,2125.55,1452145.00
09-02-2023,2147.40,2150.00,2151.95,2135.70,1563181.00
10-02-2023,2163.85,2140.20,2169.95,2137.55,1454665.00
13-02-2023,2203.30,2173.00,2210.40,2160.20,2978938.00
14-02-2023,2191.65,2215.00,2216.00,2182.15,1874906.00
16-02-2023,2178.30,2186.80,2202.30,2171.70,2464602.00
17-02-2023,2226.35,2169.80,2249.00,2160.00,3753179.00
20-02-2023,2225.50,2233.70,2252.00,2215.00,1779752.00
21-02-2023,2229.45,2239.00,2262.00,2222.70,1882604.00
22-02-2023,2194.75,2229.00,2241.00,2182.05,2103097.00
23-02-2023,2159.15,2204.00,2208.20,2153.50,2000556.00
24-02-2023,2134.05,2160.00,2172.30,2118.75,1479060.00
27-02-2023,2113.70,2134.05,2139.90,2082.10,1398112.00
28-02-2023,2109.15,2115.00,2138.30,2085.00,2108587.00
01-03-2023,2115.30,2100.00,2130.00,2100.00,1389077.00
02-03-2023,2121.60,2129.95,2149.00,2107.55,1727640.00
03-03-2023,2152.05,2140.00,2159.90,2132.25,1821066.00
08-03-2023,2170.80,2152.00,2189.60,2140.60,2965342.00
10-03-2023,2157.85,2171.50,2182.00,2133.00,1900535.00
13-03-2023,2133.85,2164.05,2178.95,2107.00,2334468.00
14-03-2023,2144.20,2144.35,2171.00,2134.40,2871343.00
15-03-2023,2176.65,2164.20,2212.45,2160.00,3044201.00
16-03-2023,2173.60,2184.90,2187.00,2132.00,2946792.00
17-03-2023,2195.75,2186.70,2228.90,2186.70,3286473.00
20-03-2023,2177.55,2191.10,2205.00,2152.00,1996773.00
21-03-2023,2208.45,2182.70,2227.00,2182.00,3178680.00
22-03-2023,2213.95,2219.50,2246.25,2207.90,1956033.00
23-03-2023,2206.65,2214.00,2242.00,2200.55,2455799.00
24-03-2023,2166.15,2206.00,2219.35,2153.05,1449544.00
27-03-2023,2154.00,2175.05,2190.00,2150.00,1540581.00
28-03-2023,2133.60,2167.75,2169.80,2122.45,1627243.00
29-03-2023,2147.45,2137.65,2159.30,2121.00,2372385.00
31-03-2023,2164.20,2156.50,2176.95,2150.55,1489542.00
03-04-2023,2170.15,2180.00,2183.50,2155.00,1231654.00
05-04-2023,2257.75,2170.00,2262.50,2165.00,2763363.00
06-04-2023,2274.25,2257.75,2291.65,2254.45,2389899.00
10-04-2023,2309.70,2284.90,2319.90,2278.05,1955914.00
12-04-2023,2288.50,2304.00,2312.70,2281.95,1165839.00
13-04-2023,2258.75,2294.80,2295.00,2242.45,1956668.00
17-04-2023,2214.00,2258.75,2273.80,2201.15,4125850.00
18-04-2023,2216.60,2220.00,2230.00,2188.00,2848601.00
19-04-2023,2219.60,2208.10,2235.00,2208.10,1970015.00
20-04-2023,2232.75,2225.00,2251.45,2222.25,1898996.00
21-04-2023,2215.20,2240.15,2243.00,2202.00,1009316.00
24-04-2023,2228.90,2220.00,2232.70,2186.55,1239073.00
25-04-2023,2247.95,2231.05,2254.00,2218.10,1350118.00
26-04-2023,2276.15,2247.85,2287.30,2244.05,1894812.00
27-04-2023,2305.60,2275.75,2310.00,2267.10,1252989.00
28-04-2023,2364.40,2312.30,2369.00,2312.30,2884961.00
02-05-2023,2384.45,2373.20,2416.35,2373.20,1840153.00
03-05-2023,2356.30,2384.10,2390.00,2348.50,998235.00
04-05-2023,2356.90,2361.80,2381.65,2342.85,1230912.00
05-05-2023,2377.50,2357.00,2406.95,2357.00,2425866.00
08-05-2023,2365.40,2377.45,2385.00,2354.05,1583576.00
09-05-2023,2374.35,2367.65,2401.90,2367.65,1417301.00
10-05-2023,2364.45,2387.00,2388.95,2350.00,1675409.00
11-05-2023,2242.15,2300.00,2314.05,2237.35,9470848.00
12-05-2023,2221.10,2222.65,2235.00,2197.35,5367292.00
15-05-2023,2246.85,2220.90,2260.00,2215.00,2662740.00
16-05-2023,2227.20,2254.60,2255.00,2223.10,2528855.00
17-05-2023,2219.60,2224.35,2244.00,2210.20,1961004.00
18-05-2023,2188.20,2230.00,2233.55,2181.00,2290757.00
19-05-2023,2190.05,2192.00,2199.05,2168.50,1729803.00
22-05-2023,2216.60,2190.00,2222.00,2178.40,1112099.00
23-05-2023,2197.65,2225.60,2228.60,2194.00,2265389.00
24-05-2023,2185.15,2200.00,2208.50,2176.00,2648479.00
25-05-2023,2204.70,2190.00,2207.30,2178.00,1689521.00
26-05-2023,2218.45,2209.00,2220.75,2201.00,1249128.00
29-05-2023,2224.55,2225.00,2241.80,2220.20,1369656.00
30-05-2023,2210.80,2230.00,2237.00,2207.20,1716729.00
31-05-2023,2205.65,2201.10,2224.00,2200.00,2809284.00
